"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender","bike_share_for_all_trip"
75284,"2018-01-31 22:52:35.2390","2018-02-01 19:47:19.8240",120,"Mission Dolores Park",37.7614205,-122.4264353,285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,2765,"Subscriber",1986,"Male","No"
85422,"2018-01-31 16:13:34.3510","2018-02-01 15:57:17.3100",15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,2815,"Customer","","","No"
71576,"2018-01-31 14:23:55.8890","2018-02-01 10:16:52.1160",304,"Jackson St at 5th St",37.3487586867448,-121.89479783177376,296,"5th St at Virginia St",37.3259984,-121.87712,3039,"Customer",1996,"Male","No"
61076,"2018-01-31 14:53:23.5620","2018-02-01 07:51:20.5000",75,"Market St at Franklin St",37.7737932060887,-122.42123901844025,47,"4th St at Harrison St",37.78095459960753,-122.39974915981291,321,"Customer","","","No"
39966,"2018-01-31 19:52:24.6670","2018-02-01 06:58:31.0530",74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,19,"Post St at Kearny St",37.788975,-122.403452,617,"Subscriber",1991,"Male","No"
6477,"2018-01-31 22:58:44.8670","2018-02-01 00:46:41.9080",236,"Market St at 8th St",37.8036865,-122.282497,160,"West Oakland BART Station",37.8053183,-122.2948365,1306,"Customer","","","No"
453,"2018-01-31 23:53:53.6320","2018-02-01 00:01:26.8050",110,"17th & Folsom Street Park (17th St at Folsom St)",37.7637085,-122.4152042,134,"Valencia St at 24th St",37.7524278,-122.4206278,3571,"Subscriber",1988,"Male","No"
180,"2018-01-31 23:52:09.9030","2018-01-31 23:55:10.8070",81,"Berry St at 4th St",37.77588,-122.39317,93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,1403,"Subscriber",1980,"Male","No"
996,"2018-01-31 23:34:56.0040","2018-01-31 23:51:32.6740",134,"Valencia St at 24th St",37.7524278,-122.4206278,4,"Cyril Magnin St at Ellis St",37.78588062694133,-122.4089150084319,3675,"Subscriber",1987,"Male","Yes"
825,"2018-01-31 23:34:14.0270","2018-01-31 23:47:59.8090",305,"Ryland Park",37.342725,-121.895617,317,"San Salvador St at 9th St",37.333955,-121.877349,1453,"Subscriber",1994,"Female","Yes"
1316,"2018-01-31 23:24:00.4160","2018-01-31 23:45:56.8240",98,"Valencia St at 16th St",37.765052,-122.4218661,4,"Cyril Magnin St at Ellis St",37.78588062694133,-122.4089150084319,1278,"Customer","","","No"
432,"2018-01-31 23:34:26.4840","2018-01-31 23:41:39.2970",89,"Division St at Potrero Ave",37.76921786152374,-122.40764558315276,43,"San Francisco Public Library (Grove St at Hyde St)",37.7787677,-122.4159292,2928,"Subscriber",1993,"Male","No"
601,"2018-01-31 23:29:46.8320","2018-01-31 23:39:48.0000",223,"16th St Mission BART Station 2",37.7647652154977,-122.42009103298186,86,"Market St at Dolores St",37.7693053,-122.4268256,3016,"Subscriber",1957,"Male","No"
887,"2018-01-31 23:24:16.3570","2018-01-31 23:39:04.1230",308,"San Pedro Square",37.336802,-121.8940901,297,"Locust St at Grant St",37.3229796,-121.8879312,55,"Subscriber",1976,"Female","Yes"
210,"2018-01-31 23:33:03.0460","2018-01-31 23:36:33.7040",7,"Frank H Ogawa Plaza",37.8045623549303,-122.27173805236816,186,"Lakeside Dr at 14th St",37.8013189,-122.2626418,2602,"Subscriber",1976,"Male","No"
188,"2018-01-31 23:30:58.1360","2018-01-31 23:34:06.3910",98,"Valencia St at 16th St",37.765052,-122.4218661,76,"McCoppin St at Valencia St",37.77166246221617,-122.42242321372034,2556,"Subscriber",1964,"Female","No"
808,"2018-01-31 23:19:58.6030","2018-01-31 23:33:27.5310",67,"San Francisco Caltrain Station 2  (Townsend St at 4th St)",37.7766392,-122.3955263,98,"Valencia St at 16th St",37.765052,-122.4218661,3041,"Subscriber",1976,"Male","Yes"
378,"2018-01-31 23:23:23.0680","2018-01-31 23:29:42.0440",80,"Townsend St at 5th St",37.7753058,-122.39738,78,"Folsom St at 9th St",37.7737172,-122.4116467,546,"Subscriber",1995,"Female","No"
350,"2018-01-31 23:13:45.5290","2018-01-31 23:19:36.2650",247,"Fulton St at Bancroft Way",37.8677892,-122.2658964,274,"Oregon St at Adeline St",37.8575672,-122.2675583,431,"Subscriber","","","No"
686,"2018-01-31 23:07:15.3130","2018-01-31 23:18:41.5580",312,"San Jose Diridon Station",37.329732,-121.901782,317,"San Salvador St at 9th St",37.333955,-121.877349,1886,"Subscriber",1997,"Female","No"
450,"2018-01-31 23:07:13.0630","2018-01-31 23:14:43.8140",241,"Ashby BART Station",37.8524766,-122.2702132,157,"65th St at Hollis St",37.8467842,-122.2913761,3583,"Subscriber",1994,"Male","No"
294,"2018-01-31 23:08:12.0000","2018-01-31 23:13:06.6360",239,"Bancroft Way at Telegraph Ave",37.8688126,-122.258764,244,"Shattuck Ave at Hearst Ave",37.8737917,-122.2686176,2144,"Subscriber",1983,"Male","No"
150,"2018-01-31 23:10:09.5860","2018-01-31 23:12:40.3330",182,"19th Street BART Station",37.8090126,-122.2682473,183,"Telegraph Ave at 19th St",37.8087021,-122.2699271,3468,"Subscriber",1945,"Male","Yes"
462,"2018-01-31 23:03:48.9400","2018-01-31 23:11:31.0290",119,"18th St at Noe St",37.7610471,-122.4326417,134,"Valencia St at 24th St",37.7524278,-122.4206278,1432,"Subscriber",1971,"Male","Yes"
379,"2018-01-31 23:04:27.7010","2018-01-31 23:10:46.9760",176,"MacArthur BART Station",37.82840997305853,-122.26631462574005,189,"Genoa St at 55th St",37.8396488,-122.2717561,997,"Subscriber",1975,"Male","No"
880,"2018-01-31 22:53:41.3020","2018-01-31 23:08:21.4430",123,"Folsom St at 19th St",37.7605936,-122.4148171,145,"29th St at Church St",37.7436839,-122.4268059,3725,"Subscriber",1986,"Male","No"
1210,"2018-01-31 22:45:37.1250","2018-01-31 23:05:47.5760",285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,133,"Valencia St at 22nd St",37.7552126,-122.4209752,1059,"Subscriber",1991,"Male","No"
259,"2018-01-31 23:01:12.7920","2018-01-31 23:05:32.1570",239,"Bancroft Way at Telegraph Ave",37.8688126,-122.258764,266,"Parker St at Fulton St",37.8624644,-122.2647911,1208,"Subscriber",1994,"Male","No"
592,"2018-01-31 22:53:27.7790","2018-01-31 23:03:20.2900",202,"Washington St at 8th St",37.8007544,-122.2748943,195,"Bay Pl at Vernon St",37.81231409135146,-122.26077854633331,1834,"Customer",1978,"Male","No"
1059,"2018-01-31 22:45:16.5700","2018-01-31 23:02:56.2850",141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,79,"7th St at Brannan St",37.7734919,-122.4036725,1248,"Subscriber",1988,"Male","No"
375,"2018-01-31 22:56:31.0820","2018-01-31 23:02:46.5830",15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,6,"The Embarcadero at Sansome St",37.80477,-122.403234,3401,"Subscriber",1988,"Male","No"
300,"2018-01-31 22:57:24.0420","2018-01-31 23:02:24.2720",114,"Rhode Island St at 17th St",37.7644783,-122.4025701,93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,3224,"Subscriber",1981,"Male","No"
2219,"2018-01-31 22:24:39.9430","2018-01-31 23:01:39.5710",30,"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,81,"Berry St at 4th St",37.77588,-122.39317,1757,"Subscriber",1991,"Female","No"
330,"2018-01-31 22:55:48.0730","2018-01-31 23:01:18.5060",99,"Folsom St at 15th St",37.7670373,-122.4154425,124,"19th St at Florida St",37.7604469,-122.410807,3379,"Subscriber",1983,"Male","No"
870,"2018-01-31 22:45:38.2350","2018-01-31 23:00:09.0340",285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,106,"Sanchez St at 17th St",37.7632417,-122.4306746,1503,"Customer",1990,"Female","No"
2032,"2018-01-31 22:25:00.1850","2018-01-31 22:58:53.0710",182,"19th Street BART Station",37.8090126,-122.2682473,266,"Parker St at Fulton St",37.8624644,-122.2647911,2169,"Subscriber",1990,"Male","No"
196,"2018-01-31 22:55:25.4130","2018-01-31 22:58:42.1420",93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,81,"Berry St at 4th St",37.77588,-122.39317,1403,"Subscriber",1980,"Male","No"
1499,"2018-01-31 22:33:06.6430","2018-01-31 22:58:06.3040",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,144,"Precita Park",37.7472996,-122.4114029,2528,"Subscriber",1970,"Female","No"
712,"2018-01-31 22:45:36.9240","2018-01-31 22:57:29.3250",285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,95,"Sanchez St at 15th St",37.7662185,-122.4310597,3619,"Subscriber",1992,"Male","No"
1305,"2018-01-31 22:32:18.1260","2018-01-31 22:54:03.4990",76,"McCoppin St at Valencia St",37.77166246221617,-122.42242321372034,59,"S Van Ness Ave at Market St",37.774814,-122.418954,2421,"Subscriber",1994,"Male","Yes"
514,"2018-01-31 22:43:52.0760","2018-01-31 22:52:26.2230",230,"14th St at Mandela Pkwy",37.8107432,-122.2914153,159,"24th St at Market St",37.8160598,-122.2782444,3503,"Subscriber",1986,"Male","No"
222,"2018-01-31 22:44:28.3640","2018-01-31 22:48:11.0220",58,"Market St at 10th St",37.776619,-122.417385,61,"Howard St at 8th St",37.7765126,-122.4113061,3483,"Subscriber",1971,"Male","No"
335,"2018-01-31 22:41:29.7740","2018-01-31 22:47:05.0090",41,"Golden Gate Ave at Polk St",37.78127,-122.41874,61,"Howard St at 8th St",37.7765126,-122.4113061,2016,"Subscriber",1991,"Male","No"
446,"2018-01-31 22:39:06.8710","2018-01-31 22:46:33.1970",81,"Berry St at 4th St",37.77588,-122.39317,28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,484,"Subscriber",1987,"Male","No"
932,"2018-01-31 22:30:30.4800","2018-01-31 22:46:03.2440",141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,124,"19th St at Florida St",37.7604469,-122.410807,557,"Subscriber",1989,"Female","No"
930,"2018-01-31 22:30:12.7600","2018-01-31 22:45:43.6620",141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,124,"19th St at Florida St",37.7604469,-122.410807,2913,"Subscriber",1982,"Female","No"
459,"2018-01-31 22:37:43.2330","2018-01-31 22:45:22.8450",144,"Precita Park",37.7472996,-122.4114029,147,"29th St at Tiffany Ave",37.7440667,-122.4214722,3593,"Subscriber",1992,"Male","No"
465,"2018-01-31 22:37:29.5810","2018-01-31 22:45:14.7650",183,"Telegraph Ave at 19th St",37.8087021,-122.2699271,230,"14th St at Mandela Pkwy",37.8107432,-122.2914153,1958,"Subscriber",1988,"Male","No"
747,"2018-01-31 22:32:24.3210","2018-01-31 22:44:51.7560",10,"Washington St at Kearny St",37.79539293725452,-122.4047702550888,42,"San Francisco City Hall (Polk St at Grove St)",37.77865,-122.41823,2859,"Subscriber",1988,"Male","No"
